,Number of features,Accuracy,Error,Precision,F1-score,Recall
KNN + PCA,120,0.55,0.44999999999999996,0.696875,0.55,0.5148809523809523
KNN + k-PCA,40,0.625,0.375,0.7586805555555556,0.625,0.6202380952380953
KNN + LDA,7,1.0,0.0,1.0,1.0,1.0
KNN + k-LDA,7,1.0,0.0,1.0,1.0,1.0
KNN + VGGNet,4096,0.9,0.09999999999999998,0.89375,0.9,0.9
KNN + ResNet,2048,0.975,0.025000000000000022,0.96875,0.975,0.975
KNN + VGGNet + ResNet,6144,1.0,0.0,1.0,1.0,1.0
