,Number of features,Accuracy,Error,Precision,F1-score,Recall
KNN + PCA,120,0.38235294117647056,0.6176470588235294,0.5197510822510822,0.3823529411764706,0.39285714285714285
KNN + k-PCA,40,0.47058823529411764,0.5294117647058824,0.6172036749482401,0.47058823529411764,0.45535714285714285
KNN + LDA,7,0.9705882352941176,0.02941176470588236,0.9730113636363636,0.9705882352941176,0.9722222222222222
KNN + k-LDA,7,0.9705882352941176,0.02941176470588236,0.9730113636363636,0.9705882352941176,0.9722222222222222
KNN + VGGNet,4096,0.6764705882352942,0.32352941176470584,0.7149569180819181,0.6764705882352942,0.6712301587301587
KNN + ResNet,2048,0.9852941176470589,0.014705882352941124,0.9903846153846154,0.9852941176470589,0.9821428571428572
KNN + VGGNet + ResNet,6144,0.9705882352941176,0.02941176470588236,0.979020979020979,0.9705882352941176,0.9642857142857143
