,Number of features,Accuracy,Error,Precision,F1-score,Recall
KNN + PCA,120,0.4117647058823529,0.5882352941176471,0.36538461538461536,0.4117647058823529,0.3974358974358974
KNN + k-PCA,40,0.47058823529411764,0.5294117647058824,0.41025641025641024,0.47058823529411764,0.47435897435897434
KNN + LDA,14,0.9411764705882353,0.05882352941176472,0.8181818181818182,0.9411764705882353,0.8181818181818182
KNN + k-LDA,14,0.9411764705882353,0.05882352941176472,0.8181818181818182,0.9411764705882353,0.8181818181818182
KNN + VGGNet,4096,0.4117647058823529,0.5882352941176471,0.4230769230769231,0.4117647058823529,0.3333333333333333
KNN + ResNet,2048,0.8823529411764706,0.11764705882352944,0.75,0.8823529411764706,0.7083333333333334
KNN + VGGNet + ResNet,6144,0.7647058823529411,0.23529411764705888,0.7777777777777777,0.7647058823529412,0.6944444444444443
